date,euro,japan,canada,uk,mexico,india,switzerland,thailand,denmark,australia
1/4/2006,-0.92228,-0.02579,-0.43328,-1.0517,-0.52567,-0.42387,-1.0645,-0.81291,-0.921,-1.1587
1/5/2006,-0.082672,-0.30137,0.89912,0.12516,0.035886,-0.29106,-0.24246,-0.42137,-0.11349,-0.22747
1/6/2006,-0.38765,-1.3107,0.26645,-0.74299,-0.27419,-0.62978,-0.58905,-1.0738,-0.43571,-0.61293
1/9/2006,0.69387,0.18332,0.35131,0.29427,-0.037879,-0.27113,0.77681,-0.25138,0.71273,0.14623
1/10/2006,0.0082894,-0.017444,-0.54033,0,0.42154,-0.13584,0.085941,0.15091,0.027498,0.35983
1/11/2006,-0.59509,-0.59493,-0.42229,0.011335,0.050918,-0.56799,-0.55601,-0.32725,-0.61322,-0.90378
1/12/2006,0.82748,0.30665,0.38788,0.17586,-0.40145,0.22758,0.97684,-0.60698,0.86036,0.61049
1/13/2006,-0.56343,0.10492,-0.10329,-0.58313,0.080418,0.24974,-0.46769,0.17742,-0.56626,-0.30571
1/17/2006,0.24818,1.216,0.25802,0.49232,-0.25567,0.29435,0.26529,0.65624,0.24793,0.23917
1/18/2006,-0.082795,-0.41526,0.71893,0.034043,0.23675,0.13556,-0.077954,-0.83365,-0.06314,0.38654
1/19/2006,-0.22321,-0.24303,-0.54729,0.022701,-0.17988,-0.33925,-0.0077988,-0.45767,-0.19615,0.25406
1/20/2006,0.074346,0.3037,-1.1297,-0.25509,-0.29419,-0.090662,0.031192,-0.22962,0.063264,-0.013388
1/23/2006,-1.4358,-0.65192,-0.1736,-1.0083,-0.0047521,0,-1.7381,-0.025546,-1.4554,-0.707
1/24/2006,-0.089566,-0.11343,0.31226,-0.24071,-0.15694,0.20387,-0.079365,0.4334,-0.10042,0.093091
1/25/2006,0.28526,1.0336,-0.58193,0.061523,-0.066657,-0.24924,0.325,-0.6124,0.32395,-0.25248
1/26/2006,0.1879,0.46552,0.19145,0.24647,0.042856,-0.18165,0.37915,-0.35897,0.18698,0.039822
1/27/2006,0.81285,0.76254,-0.2786,0.54551,-0.44852,0,0.89476,0.17965,0.816,0.18605
