,euro,japan,canada,uk,mexico,india,switzerland,thailand,denmark,australia
euro,1.3053,0.35928,0.55638,1.2416,0.45278,0.48965,0.94599,0.41471,1.293,0.75516
japan,0.35928,1.6209,-0.06095,0.11023,-0.19303,-0.10438,0.57059,0.19126,0.35588,-0.068222
canada,0.55638,-0.06095,0.96836,0.83638,0.57635,0.47675,0.36711,0.33271,0.55203,0.7774
uk,1.2416,0.11023,0.83638,3.1561,0.70371,0.70132,0.87329,0.52028,1.2248,1.1053
mexico,0.45278,-0.19303,0.57635,0.70371,1.2992,0.60827,0.22806,0.36321,0.44821,0.75699
india,0.48965,-0.10438,0.47675,0.70132,0.60827,2.5116,0.31985,0.56667,0.48371,0.67988
switzerland,0.94599,0.57059,0.36711,0.87329,0.22806,0.31985,1.367,0.32364,0.94158,0.48376
thailand,0.41471,0.19126,0.33271,0.52028,0.36321,0.56667,0.32364,1.6947,0.41092,0.46049
denmark,1.293,0.35588,0.55203,1.2248,0.44821,0.48371,0.94158,0.41092,1.2871,0.74742
australia,0.75516,-0.068222,0.7774,1.1053,0.75699,0.67988,0.48376,0.46049,0.74742,1.375
